"unique_reserve","closed_n","closed_mean","closed_sd","closed_se","open_n","open_mean","open_sd","open_se","es_ra","var","variable"
"Gili Matra",40,0.25,0.493548116792825,0.0780368091976062,108,0.0833333333333333,0.277673916200852,0.0267191850442499,1.09861228866811,0.200239635753654,"reef associated"
"Glover's Reef",35,1.47404285714286,1.12047408933627,0.189394688783122,40,0.0169,0.13,0.0169,4.46845052579978,1.49579873566971,"reef associated"
"Halfmoon Cay",36,1.22222222222222,1.09833929473055,0.183056549121759,27,0.592592592592593,0.747264717757073,0.143811161984319,0.723918839226699,0.081326344110435,"reef associated"
"Hawaii",66,1.12121212121212,1.03053610417329,0.126850225570723,89,0.0337078651685393,0.181498697857036,0.0192388234952373,3.50443443224177,0.338557485854783,"reef associated"
"iSimangaliso",48,0.333333333333333,0.694456264674817,0.100236127837607,45,0.244444444444444,0.434613493680177,0.06478835438717,0.310154928303839,0.160673465799191,"reef associated"
"Jardines de la Reina",49,0.836734693877551,0.687596622771126,0.0982280889673038,10,0.3,0.483045891539648,0.152752523165195,1.02572457291962,0.273040738537467,"reef associated"
"Kapoposang 1",5,0.0169,0.13,0.0169,59,0.220289830508475,0.446428780161928,0.0581200767197791,-2.56763046880049,11.9039282165649,"reef associated"
"Kapoposang 2",7,0.0169,0.13,0.0169,119,0.0841268907563025,0.251473368100838,0.023052525858066,-1.60501264134112,8.52817282679479,"reef associated"
"Kisite",20,0.0169,0.13,0.0169,19,0.0169,0.13,0.0169,0,6.07287449392713,"reef associated"
"Lighthouse",15,0.6,0.632455532033676,0.163299316185545,9,0.333333333333333,0.707106781186548,0.235702260395516,0.587786664902119,0.574074074074074,"reef associated"
"Mandu",8,0.125,0.353553390593274,0.125,5,0.6,1.34164078649987,0.6,-1.56861591791385,2,"reef associated"
"Maud",14,0.802614285714286,1.1217137594956,0.299790612433049,5,0.0169,0.13,0.0169,3.86056063504053,11.973834971333,"reef associated"
"MNP-11-1004",38,1.02631578947368,0.787978669805394,0.127827019636559,26,0.769230769230769,0.908083357746074,0.178089798504465,0.288339750870752,0.0691125539740924,"reef associated"
