"","X.Intercept.","s.log_Grav_Total_plus_min..k...3..bs....cr..","s.sqrt_live_coral..k...3..bs....cr..","s.log_depth..k...3..bs....cr..","s.HDI..k...3..bs....cr..","s.Voice_Accountability..k...3..bs....cr..","s.substrate_relief_mean..k...3..bs....cr..","s.visibility..k...3..bs....cr..","mixed_management","family","df","logLik","AICc","delta","weight"
"51",-1.07877159674913,NA,NA,"+","+",NA,NA,"+",NA,"Negative Binomial(0.723,log)",6,-8108.81711299346,16231.5607374326,903.108181587029,5.19591105426646e-197
"26",-1.07664167916177,NA,NA,NA,"+",NA,NA,"+",NA,"Negative Binomial(0.717,log)",5,-8114.51509040015,16239.0427936154,910.590237769826,1.23297380884152e-198
"20",-1.07480557429505,NA,NA,"+","+",NA,NA,NA,NA,"Negative Binomial(0.723,log)",5,-8119.40748641335,16250.7465890145,922.294033168848,3.54410819596469e-201
"5",-1.07127563991142,NA,NA,NA,"+",NA,NA,NA,NA,"Negative Binomial(0.715,log)",3,-8128.01106954922,16264.0257424991,935.573186653475,4.63420701592536e-204
"55",-1.04846870195632,NA,NA,"+",NA,NA,"+","+",NA,"Negative Binomial(0.661,log)",7,-8187.0773222307,16390.0365002665,1061.58394442085,2.00949556006705e-231
"22",-1.04693269751949,NA,NA,"+",NA,NA,"+",NA,NA,"Negative Binomial(0.659,log)",5,-8191.56934404754,16395.0010453532,1066.54848950754,1.67899646903992e-232
"30",-1.0464817766668,NA,NA,NA,NA,NA,"+","+",NA,"Negative Binomial(0.657,log)",5,-8192.08091735442,16396.1317153005,1067.67915945486,9.53955076200606e-233
"7",-1.04519276512579,NA,NA,NA,NA,NA,"+",NA,NA,"Negative Binomial(0.656,log)",3,-8195.94070828235,16399.8812002739,1071.42864442834,1.46331426513859e-233
"44",-1.04447264286471,NA,"+","+",NA,NA,NA,"+",NA,"Negative Binomial(0.657,log)",7,-8195.60943401008,16407.0713856416,1078.61882979597,4.01798852242472e-235
"18",-1.04251673151229,NA,"+",NA,NA,NA,NA,"+",NA,"Negative Binomial(0.653,log)",5,-8200.55264218343,16413.040865192,1084.58830934639,2.03119995170989e-236
"15",-1.04149866648945,NA,"+","+",NA,NA,NA,NA,NA,"Negative Binomial(0.653,log)",5,-8203.56048965887,16418.5396360876,1090.087080242,1.2993009288912e-237
"3",-1.03978542407751,NA,"+",NA,NA,NA,NA,NA,NA,"Negative Binomial(0.65,log)",3,-8207.85068787592,16423.2970762128,1094.84452036724,1.20405063686328e-238
"23",-1.03341925341114,NA,NA,"+",NA,NA,NA,"+",NA,"Negative Binomial(0.639,log)",5,-8222.90953271658,16457.7728155225,1129.32025967687,3.92946188800072e-246
"4",-1.03126143514519,NA,NA,"+",NA,NA,NA,NA,NA,"Negative Binomial(0.636,log)",3,-8228.70439858335,16465.3878953082,1136.93533946261,8.72447928452722e-248
"8",-1.03087047915181,NA,NA,NA,NA,NA,NA,"+",NA,"Negative Binomial(0.635,log)",3,-8229.19232523332,16466.3375005015,1137.88494465585,5.42669443459222e-248
"1",-1.02876758806338,NA,NA,NA,NA,NA,NA,NA,NA,"Negative Binomial(0.632,log)",2,-8234.84005050147,16473.6812375818,1145.22868173623,1.37994927553495e-249
