"","X.Intercept.","s.log_Grav_Total_plus_min..k...3..bs....cr..","s.sqrt_live_coral..k...3..bs....cr..","s.log_depth..k...3..bs....cr..","s.HDI..k...3..bs....cr..","s.Voice_Accountability..k...3..bs....cr..","s.substrate_relief_mean..k...3..bs....cr..","s.visibility..k...3..bs....cr..","mixed_management","family","df","logLik","BIC","delta","weight"
"6",-1.11420600102771,NA,NA,NA,NA,"+",NA,NA,NA,"Negative Binomial(0.781,log)",3,-8033.47828351636,16103.827791938,674.524424794221,1.98085704579329e-147
"42",-1.0906716505557,NA,"+","+","+",NA,NA,NA,NA,"Negative Binomial(0.749,log)",6,-8077.88437757974,16220.5697720929,791.266404949161,8.8441121412499e-173
"70",-1.09149203791841,NA,"+","+","+",NA,NA,"+",NA,"Negative Binomial(0.746,log)",7,-8075.52810517134,16225.1428824255,795.839515281816,8.98702499135116e-174
"16",-1.08769754653913,NA,"+",NA,"+",NA,NA,NA,NA,"Negative Binomial(0.743,log)",5,-8086.17055332202,16227.8528117665,798.549444622749,2.31826068331081e-174
"46",-1.08932794993272,NA,"+",NA,"+",NA,NA,"+",NA,"Negative Binomial(0.741,log)",7,-8081.78451850134,16228.4436575054,799.14029036172,1.72528858053262e-174
"50",-1.08904258395563,NA,NA,"+","+",NA,"+",NA,NA,"Negative Binomial(0.741,log)",7,-8084.1932068498,16238.7977761786,809.494409034844,9.7385308738822e-177
"58",-1.08785022615385,NA,NA,NA,"+",NA,"+","+",NA,"Negative Binomial(0.733,log)",7,-8087.28775411309,16239.4822199808,810.178852837107,6.91621303697643e-177
"75",-1.09032360337482,NA,NA,"+","+",NA,"+","+",NA,"Negative Binomial(0.739,log)",8,-8080.54313093545,16241.172988739,811.869621595288,2.96976846466964e-177
"25",-1.08552760057309,NA,NA,NA,"+",NA,"+",NA,NA,"Negative Binomial(0.734,log)",5,-8093.26056275239,16242.0937370064,812.790369862672,1.87406498065887e-177
"26",-1.07664167916177,NA,NA,NA,"+",NA,NA,"+",NA,"Negative Binomial(0.717,log)",5,-8114.51509040015,16275.3868587255,846.083491581756,1.10477826478003e-184
"51",-1.07877159674913,NA,NA,"+","+",NA,NA,"+",NA,"Negative Binomial(0.723,log)",6,-8108.81711299346,16282.0996427027,852.796275558971,3.85134657487965e-186
"5",-1.07127563991142,NA,NA,NA,"+",NA,NA,NA,NA,"Negative Binomial(0.715,log)",3,-8128.01106954922,16293.0809715941,863.777604450372,1.58871988334158e-188
"20",-1.07480557429505,NA,NA,"+","+",NA,NA,NA,NA,"Negative Binomial(0.723,log)",5,-8119.40748641335,16294.0512908037,864.747923659967,9.78014270390091e-189
"7",-1.04519276512579,NA,NA,NA,NA,NA,"+",NA,NA,"Negative Binomial(0.656,log)",3,-8195.94070828235,16428.9225695596,999.619202415914,5.05148568058037e-218
"22",-1.04693269751949,NA,NA,"+",NA,NA,"+",NA,NA,"Negative Binomial(0.659,log)",5,-8191.56934404754,16438.0545582046,1008.75119106085,5.2533094935103e-220
"30",-1.0464817766668,NA,NA,NA,NA,NA,"+","+",NA,"Negative Binomial(0.657,log)",5,-8192.08091735442,16439.575193889,1010.27182674525,2.45601573128949e-220
"55",-1.04846870195632,NA,NA,"+",NA,NA,"+","+",NA,"Negative Binomial(0.661,log)",7,-8187.0773222307,16447.6644927815,1018.36112563776,4.30191879795567e-222
"3",-1.03978542407751,NA,"+",NA,NA,NA,NA,NA,NA,"Negative Binomial(0.65,log)",3,-8207.85068787592,16450.872187079,1021.56881993524,8.65207433319e-223
"18",-1.04251673151229,NA,"+",NA,NA,NA,NA,"+",NA,"Negative Binomial(0.653,log)",5,-8200.55264218343,16456.3599459018,1027.05657875808,5.56504338684395e-224
"15",-1.04149866648945,NA,"+","+",NA,NA,NA,NA,NA,"Negative Binomial(0.653,log)",5,-8203.56048965887,16459.9838820044,1030.68051486066,9.08951746644586e-225
"44",-1.04447264286471,NA,"+","+",NA,NA,NA,"+",NA,"Negative Binomial(0.657,log)",7,-8195.60943401008,16464.5930251427,1035.28965799896,9.07147927884643e-226
"1",-1.02876758806338,NA,NA,NA,NA,NA,NA,NA,NA,"Negative Binomial(0.632,log)",2,-8234.84005050147,16488.2099475024,1058.9065803587,6.7503856171717e-231
"4",-1.03126143514519,NA,NA,"+",NA,NA,NA,NA,NA,"Negative Binomial(0.636,log)",3,-8228.70439858335,16494.3542065806,1065.05083943688,3.12694092261771e-232
"8",-1.03087047915181,NA,NA,NA,NA,NA,NA,"+",NA,"Negative Binomial(0.635,log)",3,-8229.19232523332,16495.2085697021,1065.90520255839,2.03984459263356e-232
"23",-1.03341925341114,NA,NA,"+",NA,NA,NA,"+",NA,"Negative Binomial(0.639,log)",5,-8222.90953271658,16501.1577923113,1071.85442516754,1.04169314488839e-233
