unique_id,unique_reserve,protection_status,depth,visibility,relief_mean,biotic_reef,,,,,,,,,,,
FP_2016_PH_01_MIAP_014,Apo,closed,8,10,0.2,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_019,Apo,closed,8,10,2.5,99,,,,,,,,,,,
FP_2016_PH_01_MIAP_006,Apo,closed,8.5,9,0.2727,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_007,Apo,closed,10,9,2.1538,81,,,,,,,,,,,
FP_2016_PH_01_MIAP_043,Apo,closed,10,10,2.3846,90,,,,,,,,,,,
FP_2016_PH_01_MIAP_045,Apo,closed,10,7,2.125,85,,,,,,,,,,,
FP_2016_PH_01_MIAP_047,Apo,closed,10,9,2.5,54,,,,,,,,,,,
FP_2016_PH_01_MIAP_048,Apo,closed,10,9,1.9167,33,,,,,,,,,,,
FP_2016_PH_01_MIAP_011,Apo,closed,12,7,2.4167,50,,,,,,,,,,,
FP_2016_PH_01_MIAP_024,Apo,closed,12,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_026,Apo,closed,12,7,2.25,40,,,,,,,,,,,
FP_2016_PH_01_MIAP_044,Apo,closed,12,10,1.6429,63,,,,,,,,,,,
FP_2016_PH_01_MIAP_056,Apo,closed,12,9,1,100,,,,,,,,,,,
FP_2016_PH_01_MIAP_032,Apo,closed,15,5,1.5385,81,,,,,,,,,,,
FP_2016_PH_01_MIAP_039,Apo,closed,15,7,1.6154,41,,,,,,,,,,,
FP_2016_PH_01_MIAP_040,Apo,closed,15,5,0.4,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_046,Apo,closed,15,9,1.6364,33,,,,,,,,,,,
FP_2016_PH_01_MIAP_053,Apo,closed,15,7,1.9333,15,,,,,,,,,,,
FP_2016_PH_01_MIAP_055,Apo,closed,15,7,1.3077,41,,,,,,,,,,,
FP_2016_PH_01_MIAP_025,Apo,closed,17,5,1.4286,32,,,,,,,,,,,
FP_2016_PH_01_MIAP_012,Apo,closed,18,10,1.7273,12,,,,,,,,,,,
FP_2016_PH_01_MIAP_021,Apo,closed,20,10,1.3333,100,,,,,,,,,,,
FP_2016_PH_01_MIAP_038,Apo,closed,20,5,0.6,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_054,Apo,closed,20,7,0.25,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_037,Apo,closed,25,7,3,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_049,Apo,closed,25,9,1.5833,12,,,,,,,,,,,
FP_2016_PH_01_MIAP_030,Apo,closed,30,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_050,Apo,closed,30,9,0.2308,99,,,,,,,,,,,
FP_2016_PH_01_MIAP_031,Apo,closed,32.5,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_033,Apo,closed,35,5,1.5,26,,,,,,,,,,,
FP_2016_PH_01_MIAP_029,Apo,closed,37.5,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_023,Apo,closed,40,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_034,Apo,closed,40,5,0.8333,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_035,Apo,closed,40,5,1.5833,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_052,Apo,closed,40,9,0.3,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_036,Apo,closed,45,5,0.8125,0,,,,,,,,,,,
FP_2016_PH_01_MIAP_051,Apo,closed,45,7,0.5333,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_005,Apo,open,5,9,1.2,78,,,,,,,,,,,
FP_2016_PH_01_MISAC_004,Apo,open,7,9,1.8889,50,,,,,,,,,,,
FP_2016_PH_01_MISAO_001,Apo,open,9,7,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_007,Apo,open,10,7,2.2857,50,,,,,,,,,,,
FP_2016_PH_01_MISAC_024,Apo,open,10,9,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_003,Apo,open,10,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_023,Apo,open,11,9,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_014,Apo,open,11,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_016,Apo,open,11,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_002,Apo,open,12,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_012,Apo,open,12,7,2.95,16,,,,,,,,,,,
FP_2016_PH_01_MISAO_018,Apo,open,13,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_001,Apo,open,14,9,1.1667,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_013,Apo,open,14,5,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_019,Apo,open,15,7,1.5385,84,,,,,,,,,,,
FP_2016_PH_01_MISAC_017,Apo,open,16,7,2,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_015,Apo,open,16,3,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_016,Apo,open,20,7,1.8462,80,,,,,,,,,,,
FP_2016_PH_01_MISAC_021,Apo,open,20,7,2.4,75,,,,,,,,,,,
FP_2016_PH_01_MISAC_026,Apo,open,20,10,1.0909,60,,,,,,,,,,,
FP_2016_PH_01_MISAO_004,Apo,open,20,3,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_006,Apo,open,20,5,0,40,,,,,,,,,,,
FP_2016_PH_01_MISAO_008,Apo,open,20,5,0.7,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_009,Apo,open,20,7,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_017,Apo,open,20,3,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_007,Apo,open,25,3,0,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_003,Apo,open,27,5,1.5,6,,,,,,,,,,,
FP_2016_PH_01_MISAC_010,Apo,open,28,7,1.5,60,,,,,,,,,,,
FP_2016_PH_01_MISAO_002,Apo,open,28,10,1.0556,31,,,,,,,,,,,
FP_2016_PH_01_MISAC_013,Apo,open,30,5,0.9333,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_014,Apo,open,30,7,1.4,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_015,Apo,open,30,9,1.7,44,,,,,,,,,,,
FP_2016_PH_01_MISAC_011,Apo,open,40,3,1,0,,,,,,,,,,,
FP_2016_PH_01_MISAC_012,Apo,open,40,9,2.0667,53,,,,,,,,,,,
FP_2016_PH_01_MISAC_018,Apo,open,40,5,1.6429,18,,,,,,,,,,,
FP_2016_PH_01_MISAC_027,Apo,open,40,10,0.3333,0,,,,,,,,,,,
FP_2016_PH_01_MISAO_005,Apo,open,40,5,0,50,,,,,,,,,,,
FP_2016_PH_01_MISAO_011,Apo,open,40,7,1.5333,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_035,Ashmore,closed,4,7,2.0833,9,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_049,Ashmore,closed,4,5,0.9,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_030,Ashmore,closed,5,10,3.3125,43,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_051,Ashmore,closed,5,10,1.7333,6,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_025,Ashmore,closed,5.3,10,3.0526,5,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_047,Ashmore,closed,6.1,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_036,Ashmore,closed,7,9,3.6429,100,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_061,Ashmore,closed,7,10,3.1538,100,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_046,Ashmore,closed,7.6,9,3.1,45,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_064,Ashmore,closed,7.9,10,2.75,50,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_053,Ashmore,closed,8,7,3.2,45,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_037,Ashmore,closed,11,9,3.7692,100,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_038,Ashmore,closed,11,9,3.6667,44,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_015,Ashmore,closed,12,9,2.2667,6,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_045,Ashmore,closed,12.8,9,2.7143,7,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_024,Ashmore,closed,13.4,10,2.4118,50,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_062,Ashmore,closed,14.1,10,0.1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_072,Ashmore,closed,14.9,10,2.9,20,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_017,Ashmore,closed,15.1,10,2.4667,66,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_056,Ashmore,closed,18,7,3.6875,15,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_022,Ashmore,closed,18.2,10,2.9231,99,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_065,Ashmore,closed,18.9,10,1.2,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_001,Ashmore,closed,19,7,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_054,Ashmore,closed,20,7,0.7,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_057,Ashmore,closed,20,10,4.1818,100,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_002,Ashmore,closed,20,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_003,Ashmore,closed,20,9,1.1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_023,Ashmore,closed,20.6,10,3.0833,91,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_087,Ashmore,closed,21,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_063,Ashmore,closed,21.9,10,2.0667,13,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_008,Ashmore,closed,22,10,2.1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_014,Ashmore,closed,22.8,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_102,Ashmore,closed,23,10,0.3333,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_052,Ashmore,closed,23,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_060,Ashmore,closed,24,10,0.2105,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_055,Ashmore,closed,25,7,2,85,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_026,Ashmore,closed,25,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_033,Ashmore,closed,25,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_013,Ashmore,closed,25.2,9,2,100,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_112,Ashmore,closed,25.9,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_029,Ashmore,closed,26,10,2.6,100,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_058,Ashmore,closed,27,10,1.6,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_069,Ashmore,closed,27,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_108,Ashmore,closed,27,10,0.0714,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_007,Ashmore,closed,27,10,2.9333,92,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_068,Ashmore,closed,27.1,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_066,Ashmore,closed,28.8,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_067,Ashmore,closed,29.8,10,0.2,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_059,Ashmore,closed,30,10,0.3,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_092,Ashmore,closed,30,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_097,Ashmore,closed,30,10,1,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_094,Ashmore,closed,30.2,10,1.3,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_093,Ashmore,closed,30.6,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAW_021,Ashmore,closed,30.7,10,0.8,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_081,Ashmore,closed,31,10,0.5,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_086,Ashmore,closed,31,10,0.8,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_095,Ashmore,closed,31,10,0.9,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_085,Ashmore,closed,31.2,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_109,Ashmore,closed,31.7,10,0.9333,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_073,Ashmore,closed,32,10,0.3,10,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_077,Ashmore,closed,32,10,0,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_088,Ashmore,closed,32,10,0.2,0,,,,,,,,,,,
FP_2016_AU-I_01_ASAE_106,Ashmore,closed,32,10,0.0667,0,,,,,,,,,,,
