unique_reserve,mpa_area,mpa_year_founded,mpa_isolation,mpa_compliance,Average of set_latitude,Average of set_longitude,Min of set_date,mpa_age,region_name,location_name,site,location_id,trip_year,PI,Average of depth,Average of visibility,Average of substrate_relief_mean,Average of set_productivity_2017ave,Average of hard_coral,Average of unconsolidated,Average of macroalgae,Average of soft_coral,Average of consolidated,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Live_Coral,Shark_Protection_Status,Shark_fishing_restrictions,Shark_fishing_restrictions_cat,Shark_gears,Average of set_productivity_2017ave,Average of local_population_2010,Average of local_population_2015,Average of population_proporationaldifference_2010.15,Average of Grav_NC,Average of Grav_Total,Average of Grav_Cities,Average of Grav_NP,trip_id,Fisheries_Management
MNP-13-1019,555.7,2004,<20km to next reef,high,-13.90569535,144.2211288,23/11/2016,12.90410959,Pacific,Australia-Pacific,North GBR,73,2016,Heupel,14.6852071,4.914529915,0.802176316,0.142350899,4.578947368,35.94736842,8.140350877,2.754385965,42.28070175,622.0472083,622.1026035,8.91E-05,7.649122807,Restricted,Species; Bag; Entrants; Gear; Area,Extensive,Hook & Line; Drumline; Trawl;,0.142355027,621.9626864,622.0180741,8.91E-05,0.384211818,0.059405941,0.384211818,8.57E-05,FP_2016_AU-P_04,Effective
MNP-18-1081,831.4,2004,<20km to next reef,high,-18.58072308,147.572776,27/01/2016,12.07945205,Pacific,Australia-Pacific,Mid GBR,73,2016,Heupel,15.00211268,8.648484848,2.320679755,0.523355066,31.97560976,21.18292683,4.481707317,10.54878049,29.65853659,261253.7034,261287.1302,0.000127902,42.55487805,Restricted,Species; Bag; Entrants; Gear; Area,Extensive,Hook & Line,0.535292773,261720.105,261753.6202,0.000128015,1.235548863,2,1.5982677,0.001684168,FP_2016_AU-P_03,Effective
MNP-18-1084,17.3,2004,<20km to next reef,high,-18.62412095,147.2962653,25/01/2016,12.0739726,Pacific,Australia-Pacific,Mid GBR,73,2016,Heupel,15.552,8.527472527,2.086124176,0.332210274,34.27472527,24.43956044,0,7.791208791,32.59340659,271330.43,271363.0766,0.000120307,42.06593407,Restricted,Species; Bag; Entrants; Gear; Area,Extensive,Hook & Line; Drumline; Trawl;,0.332441684,271361.231,271393.8822,0.000120311,1.746236497,3.669491525,2.558651811,7.78E-05,FP_2016_AU-P_03,Effective
MNP-23-1164,52.3,2004,<20km to next reef,high,-23.48925259,152.0676326,16/06/2018,14.46575342,Pacific,Australia-Pacific,South GBR,73,2018,Heupel,14.84814815,9,1,0.260442424,0,0,100,0,0,229894.4166,229924.0934,0.000129089,0,Restricted,Species; Bag; Entrants; Gear; Area,Extensive,Hook & Line; Drumline; Trawl;,0.260442424,229912.1753,229941.7172,0.000128493,0.379879838,5.418604651,2.125378518,2.03E-05,FP_2018_AU-P_02,Effective
SR-18-2007,17,2004,<20km to next reef,high,-18.59618067,146.4840653,26/04/2018,14.3260274,Pacific,Australia-Pacific,Mid GBR,73,2018,Heupel,13.60344828,3.689655172,1.39257931,0.359013636,5.068965517,16.89655172,0,16.34482759,57.34482759,288127.7154,288162.2995,0.000120031,21.4137931,Restricted,Size; Bag; Entrants; Species; Gear,Extensive,Hook & Line; Gillnet,0.359013636,288127.7154,288162.2995,0.000120031,3.633642009,8.034482759,5.179816521,0.000551813,FP_2018_AU-P_01,Effective
Conception,109.8,1964,>20km to next reef,medium,23.82183578,-75.11207156,10/05/2016,52.39178082,Western Atlantic,Bahamas,Conception,3,2016,Chapman,10.80326531,9.092783505,0.339362887,0.2472417,0,64.60824742,1.804123711,8.773195876,24.26804124,14106.94502,17072.79853,0.203811857,8.773195876,Closed,Area; Gear; Species,Moderate,Hook & Line,0.232377593,14123.81219,17119.94173,0.20715915,0.433931077,4.64,1.798865237,0.244352675,FP_2016_BS_03,Effective
Exuma Cays,455.8,1986,continuous,high,24.43019798,-76.64792289,6/01/2015,29.03287671,Western Atlantic,Bahamas,Exuma Cays,3,2015,Chapman,13.62176871,9.340136054,0.847670748,0.406262157,0,55.79591837,2.761904762,20.14965986,18.03401361,274617.5211,296830.3365,0.109896802,20.14965986,Closed,Area; Gear; Species,Moderate,Hook & Line,0.426857317,256105.6196,276983.9793,0.115406819,3.761792041,9.430107527,5.416338197,0.005847995,FP_2015_BS_01,Effective
Caye Caulker,15.45,1998,continuous,high,17.7070037,-88.00565109,19/04/2013,15.30684932,Western Atlantic,Belize,Belize,1,2013,Chapman,7.654581006,6.622222222,1.866944444,0.307028569,0,37.31111111,0,44.02222222,17.86666667,619005.4745,705754.9086,0.141661197,44.02222222,Restricted,Temporal; Entrants; Species,Moderate,Hook & Line; Drumline; Longline; Seine; Gillnet; Spear; Trap,0.306119686,617090.1151,703438.6589,0.141430309,4.977566137,77.73291925,24.25100361,0.04286216,LC_2013_BZ_01,Effective
Glover's Reef,70,1993,continuous,high,16.8561169,-87.95984042,12/06/2013,20.45753425,Western Atlantic,Belize,Belize,1,2013,Chapman,12.06170455,7.43902439,1.8213,0.396181155,0.170731707,30.97560976,0.804878049,43.34146341,24,461899.783,534450.717,0.156557733,43.51219512,Restricted,Temporal; Entrants; Species,Moderate,Hook & Line; Drumline; Longline; Seine; Gillnet; Spear; Trap,0.395790667,458153.4608,529437.8631,0.155105671,3.229416297,78.48,22.17080582,0.004715879,LC_2013_BZ_01,Effective
Halfmoon Cay,41.2,1982,continuous,high,17.20029208,-87.54291585,4/11/2015,33.8630137,Western Atlantic,Belize,Belize,1,2015,Chapman,14.04597701,7.574712644,1.514617241,0.258115039,0,36.59770115,0,39.35632184,11.64367816,350655.1769,401291.2578,0.144530451,39.35632184,Restricted,Temporal; Entrants; Species,Moderate,Hook & Line; Drumline; Longline; Seine; Gillnet; Spear; Trap,0.249654167,350953.7557,401510.5395,0.14418879,1.330294474,49.52380952,13.28187925,0.000115649,FP_2015_BZ_01,Effective
